店铺ID,店铺名称,销售,收入,创建,发布
518382,东北书局,3303.02,2312.11,17,17
518381,河源市祝君好教育科技有限公司,6,4.2,0,0
168968,海浪书生,29.6,17.76,0,0
518061,梁山金大文化传媒有限公司,3308,2315.6,59,1769
516850,阳光同学文化股份有限公司,0,0,0,0
516849,湖北省智慧源文化发展有限公司,1287.5,901.25,3,47
516315,安徽庐阳书社图书有限公司,525,367.5,0,0
515889,黑龙江省知行书刊经销有限公司,15,10.5,0,0
516314,潍坊新奇点教育科技有限公司,0,0,0,0
514867,拾光树文化,11096,7767.1,72,1925
514602,武汉思颖琪文化传播有限公司,324,226.8,0,0
514604,广西接班人教育科技有限公司,0,0,0,0
514605,合肥优视教育科技有限公司,16,11.2,0,0
514603,陕西明天教育科技发展有限公司,1379,965.3,0,0
514606,河南理想图书发行有限公司,197,137.9,0,0
513170,阜阳市三味书屋教育科技有限公司,67.8,47.46,0,0
513172,沈阳刷考点教辅图书有限公司,3122.6,2185.82,0,0
512829,长沙学有成教育科技有限公司,0,0,0,0
513171,安徽迈进文化传播有限公司,461.6,323.12,0,0
512822,秒懂国际图书（北京）有限公司,0,0,0,0
512825,湖南华文出版传媒有限公司,263.8,184.66,0,0
511590,衡水天枢教育发展有限公司,7425.2,5197.64,0,36
511775,陕西文韬文化传媒有限公司,26204.64,18343.23,0,413
511294,河南晨轩文化科技有限公司,5377.2,3764.04,0,950
511284,长春玖典文化传媒有限公司,60,42,0,0
511770,保定益岸图书销售有限公司,0,0,0,0
511592,武汉市启越教育咨询有限公司,0,0,0,0
511593,天津东岛传媒科技有限公司,448.6,314.02,0,0
511776,驭书斋（天津）文化传播有限公司,2239.8,1567.86,0,0
511434,山东瓜二文化传媒有限公司,0,0,0,0
510374,河北行知文化传媒有限责任公司,70.4,49.28,0,4
507430,广州习阅文化传媒有限公司,2657.8,1860.46,0,0
507429,惠来县薪火科技有限公司,0,0,0,0
506294,慧课教育科技（广东）有限公司,158.2,110.74,0,0
905437,梁山高智传媒科技中心（个体工商户）,11822.12,8275.47,27,225
505620,湖南书虫教育科技有限公司,791.8,554.26,7,12
505618,盛世华阅文化传媒（北京）有限公司,1255.16,878.6,0,20
505017,河南写意年华教育科技有限公司,171.2,119.84,8,8
505619,上海云珏文化传播有限公司,0,0,0,0
503992,济宁长歌文化传媒有限公司,17810.02,12466.92,29,511
503080,福建人民出版社有限责任公司,860.3,602.21,0,77
504617,合肥三新教育科技有限公司,165.8,116.06,0,0
504622,江苏有为咨询有限公司,45,31.5,0,0
504623,山东开心图书有限公司,1185.3,829.71,0,0
503076,聊城市开发区题酷网络科技服务中心,0,0,0,0
503079,郑州启明星书业有限公司,574.8,402.36,8,169
503077,河北兴园书刊有限公司,6,4.2,0,0
503078,武汉市好学途文化传媒有限公司,33.4,23.38,0,0
502866,四川云思路图书销售有限公司,0,0,0,0
502056,潍坊振发文化发展有限公司,10273.7,7191.59,21,177
501922,杭州盛世久顺文化发展有限公司,535.2,374.64,8,427
501752,安徽育甲优创教育科技有限公司,15,7.5,0,0
501417,西安尚墨文化传播有限公司,78.6,55.02,2,17
501751,昆明初莫文化传播有限公司,0,0,0,0
501571,河北鸿硕教育科技有有限公司,974.4,682.08,2,18
501237,兰州书志文化传播有限公司,60,42,0,0
501416,河南超图教育科技有限公司,0,0,0,0
501415,中数数字科技（山东）有限公司,27,13.5,0,0
501236,宁波涌济文化发展有限公司,1790.6,1253.3,0,1
501085,广东宾博文化传播有限公司,2,1.4,0,0
501234,安徽振乾文化传媒有限公司,297.4,208.18,0,0
500775,杭州润游图书有限公司,338,236.6,0,0
501086,四川省教育电子音像出版社有限公司,0,0,0,0
500774,上海汇熙文化传播有限公司,4,2.8,0,0
500779,河南王瑞教育科技有限公司,78.2,54.74,0,0
500772,重庆大学电子音像出版社有限公司,9,4.5,0,0
500769,山东状元桥文化传播有限公司,4,2.8,0,0
500768,北京一本通文化传媒有限公司,0,0,0,0
500746,北京清北华杰文化科技有限公司,0,0,0,0
500770,石家庄朗诚文化传媒有限公司,0,0,0,0
500745,深圳天骄文化传播有限公司,12945.64,9061.92,0,21
500744,唐山泓延文化传媒有限公司,0,0,0,0
800049,北京科学技术出版社有限公司,0,0,0,0
500743,西南大学出版社有限公司,7,4.9,0,0
500742,辽宁书林文化传播有限公司,0,0,0,0
500731,陕西奔跑加文化传播有限公司,3242.08,2269.45,0,35
500741,河南省雅润天宏文化传媒有限公司,0,0,0,0
500738,山西三重图书有限公司,0,0,0,0
500726,湖南老唐说题教育咨询有限公司,15,10.5,0,0
500717,山东甘一文化科技有限公司,0,0,0,0
500724,陕西智优文化传媒有限公司,461.94,323.35,0,0
800053,大连理工大学出版社有限公司,0,0,0,0
500722,江苏华阅万卷教育科技有限公司,62.6,43.82,0,0
500698,武汉智云优鸿科技有限公司,14.5,10.15,0,0
500709,山东普高文化教育有限公司,0,0,0,0
500696,山东面向未来图书销售有限公司,12951.79,9061.18,6,302
800011,宁波出版社有限公司,2387.83,1671.45,0,103
900000,长安学林文具用品经销部,3037.6,2126.32,2,143
500109,时代京版（北京）文化传播有限公司,66,46.2,0,0
500243,众相原创文化传播陕西有限公司,7498.4,5248.82,2,71
500546,众望益飞教育科技（北京）有限公司,6484.3,4539.01,16,697
500547,广州星达数码科技有限公司,610.74,427.51,0,0
500089,洛阳字里行间文化传播有限公司,218.4,152.88,0,0
500170,山东一得文化科技有限公司,1039,727.3,0,28
500121,浙江金睿文化传媒有限公司,109.2,76.44,0,0
500169,合肥市徽文文化传播有限公司,103.6,72.52,0,0
500228,辽宁考点文化图书有限公司,0,0,0,0
500168,梁山学易优文化传媒有限公司,231,161.7,0,0
500545,三圆文化传媒广州有限公司,107.45,75.21,0,0
500241,山东舵手网络科技有限公司,1997.6,1398.32,0,0
500167,河北鸿浩教育科技有限公司,14.2,9.94,0,0
500150,河南君德容文化传播有限公司,58,40.6,0,0
500692,素养导向北京教育科技有限公司,8,4,0,0
500586,阅盟教育科技（广东）有限公司,0,0,0,0
500126,师者教育科技（山东）有限公司,0,0,0,0
500123,中报二十一世纪（北京）传媒科技有限公司,0,2605.4,0,0
500180,济南木叉教育科技有限公司,8,5.6,0,0
500122,淄博书通数字文化发展有限公司,286.2,200.34,8,185
500108,北京千锋互联科技有限公司,4,2,0,0
500110,洛阳燕川文化传播有限公司,0,0,0,0
500502,盛华轩文化发展（北京）有限公司,0.25,0.17,0,0
500153,聊城广源图书发行有限公司,0,0,0,0
500107,山西英雅特教育科技有限公司,4,2.8,0,0
500450,陕西泰杰超信科技有限公司,0,0,0,0
500695,阳谷天盛文化传媒有限公司,0,0,0,0
500152,武汉领跑文化科技有限公司,0,0,0,0
800009,青岛出版社有限公司,1,0.5,0,0
500127,山东泉之源文化传媒有限公司,0,0,0,0
500182,深圳益学教育科技有限公司,0,0,0,0
500601,河南爱智慧文化传播有限公司,0.1,0.07,0,0
500166,黑龙江金钥匙图书经销有限公司,0,0,0,0
500151,山东状元廊文化传媒有限公司,0,0,0,0
500119,合肥小思贸易有限公司,0,0,0,0
500594,青岛五车书教育咨询服务有限公司,0,0,0,0
500406,北京新华先锋出版科技有限公司,0,0,0,0
500600,山西百佳文化传播有限公司,0,0,0,0
500225,济南皓博图书有限公司,16.8,11.76,0,0
500183,山东孟儒文化传媒有限公司,9.2,6.44,0,0
800010,江苏凤凰电子音像出版社有限公司,174,87,0,0
500129,上海万瑞威尔文化创意有限公司,3,1.5,0,0
500149,河南小旗手图书销售有限公司,2,1.4,0,0
500148,郑州纳睿文化传播有限公司,16,11.2,0,0
500131,沈阳庠序书刊有限公司,0,0,0,0
500118,山东必赢教育科技有限公司,0,0,0,0
500631,杭州市滨江区祁绩培训学校,0,0,0,0
500181,河南松茂文化传播有限公司,0,0,0,0
500550,《语文报》社有限责任公司,0,0,0,0
500408,河北华冠图书有限公司,3834.5,2684.15,0,0
500410,湖北时代卓锦文化传媒有限公司,15561.01,10892.65,32,853
500269,梁山辉煌图书有限公司,2516.22,1761.35,0,58
500283,哈尔滨勤为径图书经销有限公司,20338.62,14237.01,69,1487
500377,山东泰斗文化传播有限公司,17738.54,12416.86,10,455
500188,山东绿卡教育科技有限公司,5907.5,2953.75,0,65
500284,北京宏达一甲教育科技有限公司,717.3,502.11,0,0
500176,中山市思而优文化发展有限公司,6521.36,4564.95,1,10
800000,文心出版社有限公司,1419.2,993.44,0,0
500298,湖南天一文化发展有限公司,1325.7,927.99,1,3
500438,北京以凡文化传媒有限公司,1096.22,767.35,3,37
500271,河北红对勾文化传播有限公司,1683.7,1178.54,0,0
500280,洛阳大爱图书有限公司,408.6,286.02,0,0
500266,南京新汇泽文化传播有限公司,86.4,60.48,0,0
500083,北京众创汇嘉文化传播有限公司,17,11.9,0,0
500592,河南木子文化传播有限公司,1360.8,952.56,0,41
500361,四川昕昀文化传播有限公司,86.4,60.48,0,0
500358,武汉博大三六五文化传媒有限公司,38.6,27.02,0,0
500397,潍坊博雅图文制作有限公司,230,161,5,161
500374,河南思而行文化教育科技有限公司,18,12.6,3,27
500270,哈尔滨市朝之夕图书经销有限公司,20.6,14.42,0,0
500351,武汉奥赛王文化有限公司,229.8,160.86,0,0
500218,广西励民教育发展有限公司,12,8.4,0,0
500211,南京冠途文化传播有限公司,30,21,0,0
500100,山西瑾鹏教育科技发展有限公司,570.6,285.3,2,21
500391,四川华夏万卷文化传媒股份有限公司,41.8,29.26,0,0
800015,山东科学技术出版社有限公司,7,4.9,0,0
500395,河南洪文教育文化传播有限公司,3,2.1,0,0
500292,河南晨勤文化传媒有限公司,30,21,0,0
500388,高途教育科技集团有限公司,0,0,0,0
500084,天津择数文化传媒有限公司,0,0,0,0
800006,江西教育出版社有限责任公司,0,0,0,0
500353,陕西权度教育研究院有限公司,0,0,0,0
500585,华翰文化图书（广州）有限公司,7.8,3.9,0,0
500637,河南学思文化传播有限公司,9,6.3,0,0
500295,滨州稼和明文化传媒有限公司,2,1.4,0,0
500591,南京诺文文化传媒有限公司,0,0,0,0
500382,北京安丰文化有限公司,0,0,0,0
500290,西安华梦文创科技有限公司,0,0,0,0
500587,陕西中教创联文化发展有限公司,3,2.1,0,0
500366,北京鑫奥播教育科技有限公司,0,0,0,0
800014,天津科学技术出版社有限公司,0,0,0,0
500367,广东华考学业测评科技有限公司,0,0,0,0
500373,广东轻易考科技有限公司,0,0,0,0
500413,辽宁九章状元文化科技有限公司,0,0,0,0
500212,保定桃李源文化传播有限公司,0,0,0,0
500394,五好信息科技（济南）有限公司,0,0,0,0
500589,广州润德文化传播有限公司,0,0,0,0
500418,山东云墨文化有限公司,0,0,0,0
500588,山东传美图书文化有限公司,50,35,0,0
500635,杭州华恩教育科技有限公司,0,0,0,0
500634,淮安亮程文化传媒有限公司,0,0,0,0
500357,梁山县鸿福雁书苑有限责任公司,13,9.1,0,0
500350,潍坊学海文化传媒有限公司,13.8,9.66,0,0
500106,河南捷睿必达教育科技有限公司,9,6.3,0,0
800016,广州出版社有限公司,0,0,0,0
500375,阳谷县一诺书业有限公司,12,8.4,0,0
500273,金华春国教育科技有限公司,0,0,0,0
500402,北京华企之星科技发展中心,0,0,0,0
500421,陕西龙飞虎腾文化有限公司,0,0,0,0
900003,隆尧县新华路龙之阁书城,0,0,0,0
500387,陕西志立文化发展有限公司,0,0,0,0
500380,西安广龙文化传播有限责任公司,0,0,0,0
500355,邯郸市集域文化传播有限公司,0,0,0,0
500278,菏泽云睦图书有限公司,0,0,0,0
500403,立学立德河北教育科技有限公司,0,0,0,0
500647,北京沧浪文化发展有限公司,0,0,0,0
500643,新乡市书阶文化传媒有限公司,0,0,0,0
500661,江苏壹学知道文化传媒有限公司,12339.07,8637.18,35,1111
500309,武汉睿芯教育科技有限公司,4931.74,3452.17,1,0
500323,浙江良品图书有限公司,1156.2,809.34,16,81
500356,北京龙腾八方文化有限责任公司,770.72,385.36,13,116
500163,大连众里文化发展有限公司,566.84,396.78,0,0
800020,武汉华大鸿图文化发展有限责任公司,1254.2,877.81,0,0
500175,山东国中教育科技有限公司,410.1,287.07,0,0
500645,山东世纪育才文化传媒有限公司,78.7,55.09,0,0
500644,广东文晖文化传播有限公司,2616.26,1831.38,29,221
500630,陕西昊天图书发行有限公司,224.1,156.87,0,0
500362,成都林鸿创客图书有限公司,27,18.9,0,0
800022,华语教学出版社有限责任公司,22.6,11.3,0,0
500369,湖南汇星源文化传播有限公司,27.6,19.32,0,0
500261,山东正禾大教育科技有限公司,13764.02,9634.76,111,1350
500179,洛阳朝霞文化股份有限公司,46183.3,32328.22,14,3504
500312,江苏通典文化传媒集团有限公司,12891.26,9023.85,0,591
500232,洛阳品学文化传播有限公司,21024.46,14717.05,0,1448
500299,山东众旺汇金教育科技有限公司,3624.1,2536.87,0,21
500318,湖北盈未来教育科技有限公司,12018.13,6008.9,0,61
500189,陕西炼书客图书策划有限公司,11457.46,8020.22,19,191
500629,山东荣景教育科技股份有限公司,3628.06,2539.64,0,2
500660,洛阳可馨文化传播有限公司,5226.8,3658.75,0,366
500352,成都合力敬成实业有限公司,11,7.7,0,0
500210,河北斗米文化传媒有限公司,13038.39,9126.86,3,88
800025,长江少年儿童出版社(集团)有限公司,3,2.1,0,0
500656,洛阳芸熙文化传媒有限公司,14362.41,10053.66,0,1524
500330,河南鹤翔图书有限公司,1097.96,768.57,0,0
500633,广州教与学文化发展有限公司,4135.8,1654.32,1,10
500478,湖北猎豹教育科技有限公司,425.1,297.57,0,0
500617,理想众望教育科技（北京）有限公司,337.8,236.46,0,0
500602,洛阳云鹏文化传媒有限公司,543.78,380.63,0,0
500336,山东海之星图书有限公司,16,11.2,0,0
500224,北京众和永泰文化传播有限公司,1138,796.6,0,204
500609,呼和浩特市经纬方舟文化传播有限公司,1921.92,1345.34,1,5
500314,长沙零起点文化传播有限公司,665,465.5,0,0
500229,幼狮文化创意（山东）有限公司,109.7,76.79,0,0
500209,北京成大文教科技有限公司,202.2,141.54,0,0
500164,太原四季文化图书有限公司,2471.54,1730.07,6,17
500622,库课文化科技股份有限公司,91,63.7,0,0
650349,中学生数理化高中版编辑部,133.4,66.7,0,0
500590,深圳启睿文化传播有限公司,48.2,33.74,0,0
500333,山西臻蜀渊图书有限公司,10,7,0,0
500596,山西智想文化发展有限公司,1875.8,1313.06,0,51
500202,河南领扬文化传播有限公司,468.8,328.16,0,0
500620,北京青桐鸣文化发展有限公司,0,0,0,0
500258,陕西翰文图书精典发行有限公司,55.6,38.92,0,0
800018,苏州大学出版社有限公司,42.6,29.82,0,0
500597,广州书友图书有限公司,10.8,7.56,0,0
500618,河南智熊文化科技有限公司,26,18.2,0,0
500344,山东得佑图书发行有限公司,6.2,4.34,0,0
500223,山东诸子百家文化传媒有限公司,43.8,30.66,0,0
500328,北京云画星空文化传媒有限公司,20.5,14.35,0,0
500324,湖北先锋文化传媒有限公司,6,4.2,0,0
500639,山东聊城润学书业有限公司,0,0,0,0
500626,四川悟行高远教育科技有限公司,7,4.9,0,0
500614,武汉荷尖尖图书有限公司,18.4,12.88,0,0
500307,内蒙古京北贸易有限公司,16,11.2,0,0
500605,陕西书悦文化传播有限公司,2.5,1.75,0,0
500255,山东新坐标书业有限公司,0,0,0,0
500632,湖北华育文化发展有限公司,0,0,0,0
500654,北京时代新文达教育科技有限公司,0,0,0,0
500231,新乡市科艺图书有限公司,2,1.4,0,0
500316,武汉众帮文化传播有限公司,25.6,17.92,0,0
500595,陕西励志图书文化传播有限公司,0,0,0,0
500636,河南省鑫文轩文化发展有限公司,2,1.4,0,0
500335,河南长风教育科技有限公司,0,0,0,0
500359,合肥九州睿达文化发展有限公司,0,0,0,0
800021,漓江出版社有限公司,22,11,0,0
500615,陕西书雅图书文化传媒有限公司,0,0,0,0
500222,淄博衡石文化传播有限公司,3,2.1,0,0
500611,湖北阅泽优文化传媒有限公司,0,0,0,0
500642,许昌若比邻文化传播有限公司,0,0,0,0
500282,河南省新优学教育科技有限公司,6.8,4.76,0,0
500322,山东科速文化传播有限公司,147,102.9,0,0
500346,梁山蓝舟文化传媒有限公司,0,0,0,0
500619,武汉锦绣三江传媒有限公司,0,0,0,0
