店铺ID,店铺名称,2026年3月,2026年4月,2026年5月
518382,东北书局,11,52,23
518381,河源市祝君好教育科技有限公司,0,0,0
168968,海浪书生,0,0,0
518061,梁山金大文化传媒有限公司,18,34,0
516850,阳光同学文化股份有限公司,0,0,0
516849,湖北省智慧源文化发展有限公司,1,6,3
516315,安徽庐阳书社图书有限公司,0,0,0
515889,黑龙江省知行书刊经销有限公司,0,0,0
516314,潍坊新奇点教育科技有限公司,0,0,0
514867,拾光树文化,72,32,0
514602,武汉思颖琪文化传播有限公司,4,2,3
514604,广西接班人教育科技有限公司,1,0,0
514605,合肥优视教育科技有限公司,0,0,0
514603,陕西明天教育科技发展有限公司,0,23,6
514606,河南理想图书发行有限公司,0,0,0
513170,阜阳市三味书屋教育科技有限公司,0,0,0
513172,沈阳刷考点教辅图书有限公司,6,5,6
512829,长沙学有成教育科技有限公司,0,0,0
513171,安徽迈进文化传播有限公司,0,0,0
512822,秒懂国际图书（北京）有限公司,0,0,0
512825,湖南华文出版传媒有限公司,0,1,0
511590,衡水天枢教育发展有限公司,58,100,114
511775,陕西文韬文化传媒有限公司,45,43,16
511294,河南晨轩文化科技有限公司,67,49,0
511284,长春玖典文化传媒有限公司,0,0,0
511770,保定益岸图书销售有限公司,0,0,0
511592,武汉市启越教育咨询有限公司,0,0,0
511593,天津东岛传媒科技有限公司,0,0,0
511776,驭书斋（天津）文化传播有限公司,0,12,1
511434,山东瓜二文化传媒有限公司,0,0,0
510374,河北行知文化传媒有限责任公司,0,0,0
507430,广州习阅文化传媒有限公司,0,4,2
507429,惠来县薪火科技有限公司,0,0,0
506294,慧课教育科技（广东）有限公司,0,0,0
905437,梁山高智传媒科技中心（个体工商户）,90,66,0
505620,湖南书虫教育科技有限公司,0,9,0
505618,盛世华阅文化传媒（北京）有限公司,0,0,0
505017,河南写意年华教育科技有限公司,0,0,0
505619,上海云珏文化传播有限公司,0,0,0
500283,哈尔滨勤为径图书经销有限公司,16,58,0
503080,福建人民出版社有限责任公司,28,0,0
504617,合肥三新教育科技有限公司,0,0,0
504622,江苏有为咨询有限公司,0,0,0
504623,山东开心图书有限公司,15,0,0
503076,聊城市开发区题酷网络科技服务中心,0,0,0
503079,郑州启明星书业有限公司,1,0,3
503077,河北兴园书刊有限公司,0,0,0
503078,武汉市好学途文化传媒有限公司,0,0,0
502866,四川云思路图书销售有限公司,0,0,0
502056,潍坊振发文化发展有限公司,0,45,23
501922,杭州盛世久顺文化发展有限公司,0,0,0
501752,安徽育甲优创教育科技有限公司,0,0,0
501417,西安尚墨文化传播有限公司,0,0,0
501751,昆明初莫文化传播有限公司,0,0,0
501571,河北鸿硕教育科技有有限公司,0,8,0
501237,兰州书志文化传播有限公司,0,0,0
501416,河南超图教育科技有限公司,0,0,0
501415,中数数字科技（山东）有限公司,0,0,0
501236,宁波涌济文化发展有限公司,1,3,0
501085,广东宾博文化传播有限公司,0,0,0
501234,安徽振乾文化传媒有限公司,0,0,0
500775,杭州润游图书有限公司,0,0,0
501086,四川省教育电子音像出版社有限公司,0,0,0
500774,上海汇熙文化传播有限公司,0,0,0
500779,河南王瑞教育科技有限公司,0,0,0
500772,重庆大学电子音像出版社有限公司,0,0,0
500769,山东状元桥文化传播有限公司,0,0,0
500768,北京一本通文化传媒有限公司,0,0,0
500746,北京清北华杰文化科技有限公司,0,0,0
500770,石家庄朗诚文化传媒有限公司,0,0,0
500745,深圳天骄文化传播有限公司,0,0,83
500744,唐山泓延文化传媒有限公司,0,0,0
800049,北京科学技术出版社有限公司,0,0,0
500743,西南大学出版社有限公司,0,0,0
500742,辽宁书林文化传播有限公司,0,0,0
500731,陕西奔跑加文化传播有限公司,0,30,21
500741,河南省雅润天宏文化传媒有限公司,0,0,0
500738,山西三重图书有限公司,0,0,0
500726,湖南老唐说题教育咨询有限公司,0,0,0
500717,山东甘一文化科技有限公司,0,0,0
500724,陕西智优文化传媒有限公司,0,0,0
800053,大连理工大学出版社有限公司,0,0,0
500722,江苏华阅万卷教育科技有限公司,0,0,0
500698,武汉智云优鸿科技有限公司,0,0,0
500709,山东普高文化教育有限公司,0,0,0
500172,陕西灰犀牛图书策划有限公司,305,172,27
800000,文心出版社有限公司,37,2,13
500573,山东接力教育集团有限公司,0,0,9
500109,时代京版（北京）文化传播有限公司,0,0,0
500243,众相原创文化传播陕西有限公司,224,0,9
500546,众望益飞教育科技（北京）有限公司,0,11,12
500309,武汉睿芯教育科技有限公司,0,0,0
500089,洛阳字里行间文化传播有限公司,0,0,0
500170,山东一得文化科技有限公司,3,1,3
500121,浙江金睿文化传媒有限公司,0,0,0
500169,合肥市徽文文化传播有限公司,0,0,0
500228,辽宁考点文化图书有限公司,0,0,0
500168,梁山学易优文化传媒有限公司,0,0,0
500545,三圆文化传媒广州有限公司,0,0,0
500241,山东舵手网络科技有限公司,2,5,16
500167,河北鸿浩教育科技有限公司,0,0,0
500150,河南君德容文化传播有限公司,0,0,0
500299,山东众旺汇金教育科技有限公司,0,0,0
500586,阅盟教育科技（广东）有限公司,0,0,0
500126,师者教育科技（山东）有限公司,0,0,0
500123,中报二十一世纪（北京）传媒科技有限公司,0,0,0
500180,济南木叉教育科技有限公司,0,0,0
500122,淄博书通数字文化发展有限公司,0,0,0
500108,北京千锋互联科技有限公司,0,0,0
500110,洛阳燕川文化传播有限公司,0,0,0
500502,盛华轩文化发展（北京）有限公司,0,0,0
500153,聊城广源图书发行有限公司,0,0,0
500107,山西英雅特教育科技有限公司,0,0,0
500450,陕西泰杰超信科技有限公司,0,0,0
500318,湖北盈未来教育科技有限公司,37,165,0
500152,武汉领跑文化科技有限公司,0,0,0
800009,青岛出版社有限公司,0,0,0
500127,山东泉之源文化传媒有限公司,0,0,0
500182,深圳益学教育科技有限公司,0,0,0
500601,河南爱智慧文化传播有限公司,0,0,0
500166,黑龙江金钥匙图书经销有限公司,0,0,0
500151,山东状元廊文化传媒有限公司,0,0,0
500119,合肥小思贸易有限公司,0,0,0
500594,青岛五车书教育咨询服务有限公司,0,0,0
500406,北京新华先锋出版科技有限公司,0,0,0
500600,山西百佳文化传播有限公司,0,0,0
500538,安徽木牍教育图书有限公司,20,1,0
500183,山东孟儒文化传媒有限公司,0,0,0
800010,江苏凤凰电子音像出版社有限公司,0,0,0
500129,上海万瑞威尔文化创意有限公司,0,0,0
500149,河南小旗手图书销售有限公司,0,0,0
500148,郑州纳睿文化传播有限公司,0,0,0
500131,沈阳庠序书刊有限公司,0,0,0
500118,山东必赢教育科技有限公司,0,0,0
500631,杭州市滨江区祁绩培训学校,0,0,0
500181,河南松茂文化传播有限公司,0,0,0
500550,《语文报》社有限责任公司,0,0,0
500408,河北华冠图书有限公司,0,0,0
500410,湖北时代卓锦文化传媒有限公司,26,82,0
500269,梁山辉煌图书有限公司,0,1,7
500377,山东泰斗文化传播有限公司,0,55,0
500189,陕西炼书客图书策划有限公司,2,0,20
500188,山东绿卡教育科技有限公司,6,35,2
500284,北京宏达一甲教育科技有限公司,0,0,0
500507,山东育博苑文化传媒有限公司,0,0,2
800030,北方联合出版传媒（集团）股份有限公司分公司,70,15,0
900000,长安学林文具用品经销部,9,11,14
500438,北京以凡文化传媒有限公司,0,0,0
500271,河北红对勾文化传播有限公司,1,0,39
500280,洛阳大爱图书有限公司,0,4,0
500266,南京新汇泽文化传播有限公司,0,0,0
500083,北京众创汇嘉文化传播有限公司,0,0,0
500161,西安玖典文创科技有限公司,12,4,0
500361,四川昕昀文化传播有限公司,0,0,0
500358,武汉博大三六五文化传媒有限公司,0,0,0
500397,潍坊博雅图文制作有限公司,0,0,0
500374,河南思而行文化教育科技有限公司,2,0,0
500270,哈尔滨市朝之夕图书经销有限公司,0,0,0
500351,武汉奥赛王文化有限公司,0,0,0
500218,广西励民教育发展有限公司,0,0,0
500211,南京冠途文化传播有限公司,0,0,0
500100,山西瑾鹏教育科技发展有限公司,0,4,0
500391,四川华夏万卷文化传媒股份有限公司,0,0,0
800015,山东科学技术出版社有限公司,0,0,0
500395,河南洪文教育文化传播有限公司,0,0,0
500292,河南晨勤文化传媒有限公司,0,0,0
500388,高途教育科技集团有限公司,0,0,0
500084,天津择数文化传媒有限公司,0,0,0
800006,江西教育出版社有限责任公司,0,0,0
500353,陕西权度教育研究院有限公司,0,0,0
500585,华翰文化图书（广州）有限公司,0,0,0
500637,河南学思文化传播有限公司,0,0,0
500295,滨州稼和明文化传媒有限公司,0,0,0
500591,南京诺文文化传媒有限公司,0,0,0
500382,北京安丰文化有限公司,0,0,0
500290,西安华梦文创科技有限公司,0,0,0
500587,陕西中教创联文化发展有限公司,0,0,0
500366,北京鑫奥播教育科技有限公司,0,0,0
800014,天津科学技术出版社有限公司,0,0,0
500367,广东华考学业测评科技有限公司,0,0,0
500373,广东轻易考科技有限公司,0,0,0
500413,辽宁九章状元文化科技有限公司,0,0,0
500212,保定桃李源文化传播有限公司,0,0,0
500394,五好信息科技（济南）有限公司,0,0,0
500589,广州润德文化传播有限公司,0,0,0
500418,山东云墨文化有限公司,0,0,0
500588,山东传美图书文化有限公司,0,0,0
500635,杭州华恩教育科技有限公司,0,0,0
500634,淮安亮程文化传媒有限公司,0,0,0
500357,梁山县鸿福雁书苑有限责任公司,0,0,0
500350,潍坊学海文化传媒有限公司,0,0,0
500106,河南捷睿必达教育科技有限公司,0,0,0
800016,广州出版社有限公司,0,0,0
500375,阳谷县一诺书业有限公司,0,0,0
500273,金华春国教育科技有限公司,0,0,0
500402,北京华企之星科技发展中心,0,0,0
500421,陕西龙飞虎腾文化有限公司,0,0,0
900003,隆尧县新华路龙之阁书城,0,0,0
500387,陕西志立文化发展有限公司,0,0,0
500380,西安广龙文化传播有限责任公司,0,0,0
500355,邯郸市集域文化传播有限公司,0,0,0
500278,菏泽云睦图书有限公司,0,0,0
500403,立学立德河北教育科技有限公司,0,0,0
500647,北京沧浪文化发展有限公司,0,0,0
500643,新乡市书阶文化传媒有限公司,0,0,0
500661,江苏壹学知道文化传媒有限公司,23,28,0
800032,京版北教文化传媒股份有限公司,0,0,0
500482,山东仁心齐教育科技有限公司,0,29,0
500356,北京龙腾八方文化有限责任公司,107,0,0
500163,大连众里文化发展有限公司,0,0,0
800020,武汉华大鸿图文化发展有限责任公司,0,0,0
500175,山东国中教育科技有限公司,0,0,0
500645,山东世纪育才文化传媒有限公司,0,0,0
500509,河北启光教育科技有限公司,0,0,23
500630,陕西昊天图书发行有限公司,27,0,0
500362,成都林鸿创客图书有限公司,0,0,0
800022,华语教学出版社有限责任公司,0,0,0
500369,湖南汇星源文化传播有限公司,0,0,0
500447,北京五洲时代天华文化传媒有限公司,130,5,2
500179,洛阳朝霞文化股份有限公司,81,132,197
500285,山东一帆融媒教育科技有限公司,316,30,0
500232,洛阳品学文化传播有限公司,19,74,95
500464,山东文丰苑图书有限公司,0,9,0
500592,河南木子文化传播有限公司,0,0,0
500602,洛阳云鹏文化传媒有限公司,0,0,7
500629,山东荣景教育科技股份有限公司,0,0,0
500660,洛阳可馨文化传播有限公司,89,28,18
500352,成都合力敬成实业有限公司,0,0,0
500210,河北斗米文化传媒有限公司,1,3,1
800025,长江少年儿童出版社(集团)有限公司,0,0,0
500656,洛阳芸熙文化传媒有限公司,0,0,334
500330,河南鹤翔图书有限公司,0,32,0
500499,湖北智慧万羽文化传媒有限公司,0,0,10
500478,湖北猎豹教育科技有限公司,0,0,0
500617,理想众望教育科技（北京）有限公司,0,0,0
500572,山东金太阳教育集团有限公司,0,0,0
500644,广东文晖文化传播有限公司,0,2,0
500224,北京众和永泰文化传播有限公司,22,0,8
500609,呼和浩特市经纬方舟文化传播有限公司,3,1,0
500314,长沙零起点文化传播有限公司,12,15,0
500229,幼狮文化创意（山东）有限公司,0,0,0
500209,北京成大文教科技有限公司,0,0,0
500164,太原四季文化图书有限公司,2,4,6
500622,库课文化科技股份有限公司,0,0,0
500323,浙江良品图书有限公司,0,0,7
500590,深圳启睿文化传播有限公司,0,0,0
500333,山西臻蜀渊图书有限公司,0,0,0
500187,荆州市南宇图书有限公司,0,0,0
500202,河南领扬文化传播有限公司,0,7,9
500620,北京青桐鸣文化发展有限公司,0,0,0
500258,陕西翰文图书精典发行有限公司,0,0,0
800018,苏州大学出版社有限公司,0,0,0
500597,广州书友图书有限公司,0,0,0
500618,河南智熊文化科技有限公司,0,0,0
500344,山东得佑图书发行有限公司,0,0,0
500223,山东诸子百家文化传媒有限公司,0,0,0
500328,北京云画星空文化传媒有限公司,0,0,0
500324,湖北先锋文化传媒有限公司,0,0,0
500639,山东聊城润学书业有限公司,0,0,0
500626,四川悟行高远教育科技有限公司,0,0,0
500614,武汉荷尖尖图书有限公司,0,0,0
500307,内蒙古京北贸易有限公司,0,0,0
500605,陕西书悦文化传播有限公司,0,0,0
500255,山东新坐标书业有限公司,0,0,0
500632,湖北华育文化发展有限公司,0,0,0
500654,北京时代新文达教育科技有限公司,0,0,0
500231,新乡市科艺图书有限公司,0,0,0
500316,武汉众帮文化传播有限公司,0,0,0
500595,陕西励志图书文化传播有限公司,0,0,0
500636,河南省鑫文轩文化发展有限公司,0,0,0
500335,河南长风教育科技有限公司,0,0,0
500359,合肥九州睿达文化发展有限公司,0,0,0
800021,漓江出版社有限公司,0,0,5
500615,陕西书雅图书文化传媒有限公司,0,0,0
500222,淄博衡石文化传播有限公司,0,0,0
500611,湖北阅泽优文化传媒有限公司,0,0,0
500642,许昌若比邻文化传播有限公司,0,0,0
500282,河南省新优学教育科技有限公司,0,0,0
500322,山东科速文化传播有限公司,0,8,0
500346,梁山蓝舟文化传媒有限公司,0,0,0
500619,武汉锦绣三江传媒有限公司,0,0,0
500659,悦读名品文化传媒（北京）有限公司,0,0,0
500354,安徽中科云楚教育科技有限公司,0,0,0
500265,河北众合创亿文化传媒有限公司,0,0,0
500230,时代天宇国际文化传媒（北京）有限公司,0,0,0
500593,北京昌昱春博大文化有限公司,0,0,0
500607,湖南学而优文化传播有限公司,0,0,0
800019,长江文艺出版社有限公司,0,0,0
500338,湖北梦之组文化传播有限公司,0,0,0
500326,湖南省新华书店有限责任公司,0,0,0
500186,北京时代华畅文化有限公司,0,0,0
500264,河南学伴文化传播有限公司,0,0,0
500321,郑州邦尔学文化传媒有限公司,0,0,0
500662,陕西新联文化教育有限公司,0,0,0
500612,山东海知源文化传媒有限公司,0,0,0
500569,山东梁山世纪儒源文化传媒有限公司,0,0,0
500256,河南华炳焱文化传媒有限公司,0,0,0
500301,北京三爱创新教育科技中心,0,0,0
800024,时代新媒体出版社有限责任公司,0,0,0
501921,郑州众轩图书有限公司,0,0,0
500682,世界图书出版上海有限公司,0,0,0
500678,北京鸿状元文化传媒有限公司,0,0,0
500670,江西卓众文化发展有限公司,0,0,0
500608,河南欢颜文化传媒有限公司,0,0,0
800023,中国广播影视出版社有限公司,0,0,0
500680,北京汇众博源教育科技有限公司,0,0,0
500679,山东多乐多教育科技有限公司,0,0,0
500676,北京牧野春晖图书有限公司,0,0,0
500677,北京思状科技发展有限公司,0,0,0
500467,湖南教育报刊社《初中生》编辑部,0,0,0
500624,福建漂读网络科技有限公司,0,0,0
500286,湖南佩佩教育科技有限公司,0,0,0
500208,洛阳贵海图书有限公司,0,0,0
500613,陕西经纬图书报刊发行有限公司,0,0,0
500274,河南突唯文化传播有限公司,0,0,0
500263,河南功书文化传播有限公司,0,0,0
800017,文化发展出版社有限公司,0,0,0
500658,山东书品文化传媒有限公司,0,0,0
500604,扬帆之星（北京）文化传媒有限责任公司,0,0,0
500293,郑州海豚图书有限公司,0,0,0
500648,河南北之星图书有限公司,0,0,0
900004,西安市新城区图图释道书店,0,0,0
500657,说词解字（北京）文化有限公司,0,0,0
500279,河南天疆教育科技有限公司,0,0,0
500603,河北领恒图书销售有限公司,0,0,0
500305,河南典学文化传播有限公司,0,0,0
500348,湖南森利鑫文化传播有限公司,0,0,0
500681,山东太学教育科技有限公司,0,0,0
500675,北方国家版权交易中心有限公司,0,0,0
500671,洛阳墨韵文化传媒有限公司,0,0,0
500341,湖北快乐导航文化传播有限公司,0,0,0
800011,宁波出版社有限公司,0,10,0
500176,中山市思而优文化发展有限公司,44,6,0
500692,素养导向北京教育科技有限公司,0,0,6
500480,陕西助力文化传媒有限公司,0,35,0
500184,金华市合创展教育图书有限公司,0,0,0
500412,河南青橙教育科技有限公司,0,0,0
500494,山东学缘教育图书有限公司,6,0,0
500535,北京知行健教育咨询有限公司,0,0,0
500431,山东瀚海文苑传媒有限公司,0,0,0
500528,北京伯乐马文化发展中心,0,8,0
500540,安徽大图文化传播有限公司,0,7,8
500429,成都景中教育软件有限公司,0,0,0
500433,河北敬文图书有限公司,0,0,0
500386,华版（北京）文化有限公司,0,0,0
800026,北京世纪东方科技发展有限公司,0,0,0
500484,河南酷特文化传媒有限公司,0,0,0
500233,武汉华简书业有限公司,0,0,0
500579,潍坊神龙图书发行有限公司,100,9,0
500519,伊宁市格邦托管服务有限公司,0,0,0
500435,沈阳市驰翔书刊有限公司,0,0,0
500633,广州教与学文化发展有限公司,11,0,0
500696,山东面向未来图书销售有限公司,54,51,10
500505,湖北千里万卷教育科技有限责任公司,0,0,0
500272,山东中辰文化传媒有限公司,64,42,224
500415,山东一本图书有限公司,35,0,29
500336,山东海之星图书有限公司,0,0,0
500345,广州翰庭文化传媒有限公司,0,0,0
500576,郑州培优教育图书发行有限公司,106,0,17
500389,河北万卷文化有限公司,0,0,0
500343,山东佰鸿壹铭教育科技有限公司,0,0,0
500177,河北志东图书有限公司,0,0,0
500442,梁山鑫宇文化传媒有限公司,0,0,0
503992,济宁长歌文化传媒有限公司,96,16,6
500201,河南鼎成教育科技有限公司,0,0,1
500288,滨州市众邦图书有限公司,0,0,0
500500,山东正大图书有限公司,0,0,53
500440,山东优易练图书有限公司,0,8,0
500416,南京考优文化传播有限公司,0,0,1
500277,梁山智源数字化科技有限公司,1,6,9
500527,万向思维国际教育科技集团（西安）股份有限公司,0,0,0
800031,吉林教育出版社有限责任公司,45,25,0
500312,江苏通典文化传媒集团有限公司,0,111,0
500259,河南昕金立文化传媒有限公司,0,24,0
500520,山东步步维赢文化传媒有限公司,0,0,0
500483,湖北浩然盛锦文化传媒有限公司,0,0,0
500583,梁山博圣图书有限公司,0,0,0
500465,太原市后土文化传媒有限公司,0,0,1
500452,合肥亚泰嘉和文化传播有限公司,0,0,0
500514,河北考源书业有限公司,0,0,0
500582,志恒文化传媒（北京）有限公司,0,0,1
500423,山西晋一教育科技有限公司,0,0,0
500574,山东义博海越文化传媒有限公司,0,0,0
500530,北京点石新语文文化发展有限公司,0,0,0
500506,广州速进文化发展有限公司,0,0,0
900001,肃宁县东信教育书店,0,0,0
500370,江西铭文文化发展有限公司,1,0,0
500517,郑州瀚海文化传播有限公司,0,0,0
500281,湖北远成文化传播有限公司,0,0,0
500552,滨州儒乾文化传媒有限公司,0,0,0
500443,云南孝全文化传播有限公司,0,0,0
500247,山东毫末教育科技有限公司,0,0,0
500220,北京良石嘉业文化发展有限公司,0,0,0
500260,北京元申教育科技有限公司,0,0,0
500577,《英语周报》社有限公司,0,0,0
500449,吉林梓耕教育科技股份有限公司,0,0,0
800028,山东教育出版社有限公司,0,0,0
500674,上海天禾图书有限公司,0,0,0
500384,梁山儒舟文化传媒有限公司,0,0,0
500492,智品天下图书（北京）有限公司,0,0,0
500437,四川百鸣教育科技有限公司,0,0,0
500252,湖北大鑫文化传媒有限公司,0,0,0
500503,河南金书文化传播有限公司,0,0,0
500472,深圳泰微课教育科技有限公司,0,0,0
500427,长春市天源图书有限责任公司,0,0,0
500581,四川省万树文化传播有限公司,0,0,0
800029,湖南教育音像电子出版社有限责任公司,0,0,0
500529,北京市育学林教育技术有限公司,0,0,0
500638,北京润学漫华文化传播有限公司,0,0,0
500460,河南三之三教育科技有限公司,0,0,0
500496,南京师文教育咨询中心,0,0,0
800027,长春东北师范大学出版社有限责任公司,0,0,0
500405,山西文海泉文化传播有限公司,0,0,0
500428,山东文泉文化传媒有限公司,0,0,0
500448,山西圣典华章文化传媒有限公司,0,0,0
500385,杭州蓝鲸图书有限公司,0,0,0
500522,山东沐彤教育科技有限公司,0,0,0
500580,河南宣雨教育图书有限公司,0,0,0
500516,山西华海浩宇文化传播有限公司,0,0,0
500401,江苏文泉图书文化有限公司,0,0,0
500383,河北文博教育科技集团有限公司,0,0,0
500445,太原市亿典教育科技有限公司,0,0,0
500556,山东慧林文化传媒有限公司,0,0,0
500337,河南硕源教育咨询有限公司,0,0,0
500474,安阳市超世通文化传媒有限公司,0,0,0
500364,哈尔滨多森文化传播有限公司,0,0,0
500524,北京思齐弘天文化发展有限公司,0,0,0
500424,陕西时代盛秦图书有限责任公司,0,0,0
500564,梁山华维科技文化发展有限公司,0,0,0
500213,重庆课堂内外杂志社出版有限公司,0,0,0
500672,崇文书局有限公司,0,0,0
500554,分之道教育网络科技有限公司,0,0,0
500665,黑龙江德亚文化传媒有限公司,0,0,0
500653,河南九铭文教图书发行有限公司,0,0,0
500652,武汉华师师源图书有限公司,0,0,0
500487,河南文友图书发行有限公司,0,0,0
500257,北京王后雄教育科技有限公司,0,0,0
500521,四川精志愿教育科技有限公司,0,0,0
500655,微课时代（北京）文化传媒有限公司,0,0,0
500666,宿迁市宿城区巨鼎教育培训中心有限公司,0,0,0
500640,振坤翰苑（北京）图书有限公司,0,0,0
500641,无锡市博才培训中心有限公司,0,0,0
500575,百年育才（北京）教育咨询集团股份有限公司,0,0,0
500455,新疆星润文化传媒有限公司,0,0,0
500584,徐州主合教育科技有限公司,0,0,0
500669,山东盛博苑图书有限公司,0,0,0
500339,山东鼎鑫书业有限公司,10,90,95
500162,郑州荣恒图书发行有限公司,101,341,191
500566,山东金榜苑文化传媒有限责任公司,82,29,6
500313,山东瀚海书韵教育科技有限公司,0,0,0
500695,阳谷天盛文化传媒有限公司,0,0,0
500297,河南文轩文化传播有限公司,0,0,0
900005,南京市玄武区书生教育信息咨询工作室,0,5,0
500372,广州百试乐文化教育有限公司,0,0,0
500393,湖北海韵文化传媒有限公司,0,0,0
500425,昆明书屯文化传播有限公司,0,0,0
500694,重庆智琅图书有限公司两江新区分公司,0,0,0
500302,河北艾玛文化发展有限公司,0,0,0
500320,梁山县文轩图书有限公司,0,0,0
500368,武汉乐学天成文化传播有限公司,0,0,0
500319,山东志鸿超仁图书有限公司,0,0,0
500262,广东易杰教育研究有限公司,0,0,0
500315,山东学苑文化传媒有限责任公司,0,0,0
500426,湖北瀚海书航文化传媒有限公司,10,0,132
500225,济南皓博图书有限公司,0,0,5
500173,河北金卷教育科技有限公司,11,308,0
500379,南京经纶文化传媒有限公司,64,87,0
500409,湖北世纪国华文化传播有限公司,0,0,0
650349,中学生数理化高中版编辑部,0,8,0
500596,山西智想文化发展有限公司,16,26,0
500490,《数理报》社有限公司,0,27,2
500304,洛阳九歌文化传播有限公司,0,29,0
500649,梁山启智教育图书有限公司,0,0,0
500365,天津市恒真文化发展有限公司,0,0,0
500526,山东先德睿图书有限公司,0,0,0
500317,湖北稳派教育科技有限公司,0,3,0
500570,山东百川数字科技有限公司,0,0,23
500327,河南清北之道教育研究院有限公司,0,0,0
500454,湖北金色花开文化有限公司,0,0,0
500300,山东名师文化传媒有限公司,0,0,0
500334,山西唐文文化发展有限公司,5,8,0
500390,河北优盛文化传播有限公司,0,0,0
500536,太原市晋文源图书有限公司,0,0,0
500261,山东正禾大教育科技有限公司,16,46,0
500525,威海天梯图书有限公司,0,0,0
500453,福州学熙文化传媒有限公司,0,0,0
500329,河北知灼图书销售有限公司,0,0,0
500360,河南智评教育科技有限公司,6,1,1
500451,山东滨州教与学图书有限公司,0,0,0
500417,北京组合教育科技有限公司,0,0,0
500434,山东智慧翔文化传媒有限公司,0,0,0
500325,广州领航教育科技有限公司,0,0,0
500400,南昌博智文化传播有限公司,0,0,0
500628,北京引航者教育咨询有限公司,0,0,0
500441,陕西巨微图书文化传播有限公司,2,0,0
500414,河南世纪天成文化发展有限公司,0,0,0
500432,南京智业天成文化传播有限公司,0,0,0
500381,广州逆袭教育科技服务有限公司,0,0,0
500291,文科创新（北京）教育科技有限公司,0,0,0
500396,河北动力林图书贸易有限公司,0,0,0
500458,湖南高中生杂志社有限责任公司,0,0,0
500310,辽宁教育周报出版有限公司,0,0,0
500459,安徽优知教育咨询有限公司,0,0,0
500308,山东学智文化传媒有限公司,0,0,0
500650,陕西紫腾山文化传媒有限公司,0,0,0
500625,陕西腾跃教育科技有限公司,0,0,0
500420,天津升学易徐师教育咨询中心,0,0,0
500436,北京明师国际教育科技有限公司,0,0,0
500340,北京龙凤传承国际教育科技有限公司,0,0,0
500664,佳木斯市助力电子商务有限公司,0,0,0
500363,合肥皖智教育科技集团有限公司,0,0,1
500553,山东中联翰元教育科技有限公司,0,0,0
500332,北京金海豚教育科技有限公司,0,0,0
500489,山东本真图书有限公司,0,0,4
500253,郑州天勤图书有限责任公司,16,0,13
800001,新蕾出版社（天津）有限公司,0,0,0
500531,河北三品图书有限公司,0,0,0
500501,泽尚阳光北京教育科技有限公司,0,0,0
500495,正定思立方文化传播有限公司,0,0,0
500491,北京金榜园教育科技有限公司,0,0,0
800008,浙江摄影出版社有限公司,0,0,0
500407,成都全德文化传播有限公司,0,0,0
500541,山东金考案教育科技有限公司,0,0,0
500508,济南东和文化科技有限公司,0,0,0
500251,北京京体大文化发展有限公司,0,0,0
500567,包头市绿叶风科教文化有限公司,0,0,0
500683,贵州用心育才教育信息咨询有限公司,0,0,0
500565,北京天才推手教育科技有限公司,0,0,0
500214,四川多能教育书业有限公司,7,29,0
500203,四川汇合明聚教育科技有限公司,0,0,4
500254,成都康达书业有限公司,0,0,0
500479,山东智乐星教育科技股份有限公司,151,0,19
500376,江西宇恒文化发展有限公司,5,6,32
500174,山东强联文化传媒有限公司,0,0,0
500469,黑龙江学与考教育信息咨询有限公司,0,0,0
500488,山东旭阳教育科技有限公司,0,0,0
500547,广州星达数码科技有限公司,0,0,0
500504,一川教育,0,0,0
500473,北京明信弘德文化发展有限公司,0,0,0
500534,北京时代圣哲教育科技有限公司,12,0,3
500311,南京缘溪行文化传播有限公司,0,0,0
500468,广州思脉图书发行有限公司,0,0,0
500185,保定市三合图书销售有限公司,0,0,0
500298,湖南天一文化发展有限公司,0,0,0
500560,河北华翰书业有限公司,0,0,0
500512,北京阅来阅好图书有限公司,0,0,0
500558,连云港翰秦信息技术有限公司,0,0,0
500462,武汉沃德丰教育科技有限公司,0,0,0
500557,广州卓品文化传播有限公司,0,0,0
500476,晋中市乐学文化咨询有限责任公司,0,0,0
500511,忻州市青果教育咨询有限公司,0,0,0
500461,北京志高行远教育科技有限公司,0,0,0
800033,浙江大学出版社有限责任公司,0,0,0
500555,贵州艺和教联文化有限公司,0,0,0
500548,北京书诚汇发文化发展有限公司,0,0,0
500481,西安九宗数码科技有限公司,0,0,0
500470,福清智高点教育培训学校有限公司,0,0,0
500498,河北天智达图书有限公司,0,0,0
500533,《学习报》社有限责任公司,0,0,0
500510,北京历说教育科技有限公司,0,0,0
500493,中视天之聪教育科技（北京）有限公司,0,0,0
500551,河南开祥文化传播有限公司,0,0,0
500133,重庆亚太图书出版发行有限公司,0,0,0
519731,鑫拓（广州）科技有限公司,0,0,1
520221,梁山见山文化传播中心,0,40,1
520991,郑州载望图书有限公司,0,12,0
520676,广州市昭阳博悦文化传播有限公司,0,85,0
520482,云南自有文化传播有限公司,0,7,4
520481,武汉鑫南泓文化传媒有限公司,0,17,8
521916,淄博汇智图书有限公司,0,0,17
522276,北京先知时代文化中心,0,0,30
